"HostID","2021-02-01","Total"
"420",99,99
"415",92,92
"451",87,87
"15",81,81
"90",80,80
"99",75,75
"219",66,66
"33",64,64
"408",63,63
"43",61,61
"68",60,60
"58",54,54
"216",50,50
"79",50,50
"24",49,49
"421",49,49
"53",49,49
"87",49,49
"64",48,48
"26",44,44
"419",43,43
"20",41,41
"37",41,41
"448",41,41
"413",40,40
"412",38,38
"434",38,38
"422",34,34
"82",32,32
"94",30,30
"49",29,29
"426",28,28
"47",27,27
"66",27,27
"52",26,26
"215",24,24
"84",22,22
"29",21,21
"75",21,21
"217",20,20
"88",19,19
"46",17,17
"407",16,16
"459",16,16
"214",13,13
"71",12,12
"98",12,12
"65",10,10
"80",10,10
"100",9,9
"51",7,7
"59",5,5
"56",4,4
"2",3,3
"35",2,2
"428",2,2
"435",2,2
"449",2,2
"54",2,2
"97",2,2
"13",1,1
"18",1,1
"207",1,1
"40",1,1
"432",1,1
"433",1,1
"457",1,1
"461",1,1